movieId,title
92475,All Watched Over by Machines of Loving Grace (2011)
2365,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962)
184641,Fullmetal Alchemist 2018 (2017)
174403,The Putin Interviews (2017)
61257,I.O.U.S.A. (a.k.a. IOUSA) (2008)
93006,"Very Potter Musical, A (2009)"
93008,"Very Potter Sequel, A (2010)"
5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)
26453,Smiley's People (1982)
4954,Ocean's Eleven (a.k.a. Ocean's 11) (1960)
73569,Project A 2 ('A' gai wak juk jap) (1987)
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
6009,"City of Lost Souls, The (Hyôryuu-gai) (2000)"
70521,Lost in Austen (2008)
1916,Buffalo '66 (a.k.a. Buffalo 66) (1998)
3988,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000)
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
5532,Amy's O (a.k.a. Amy's Orgasm) (2001)
2467,"Name of the Rose, The (Name der Rose, Der) (1986)"
4534,Return to Snowy River (a.k.a. The Man From Snowy River II) (1988)
184257,Making a Murderer (2015)
42946,Project A ('A' gai waak) (1983)
79299,"No. 1 Ladies' Detective Agency, The (2008)"
5060,M*A*S*H (a.k.a. MASH) (1970)
110541,"Brain Smasher... A Love Story (Bouncer and the Lady, The) (1993)"
178129,Adventures in Plymptoons! (2011)
27604,Suicide Club (Jisatsu saakuru) (2001)
5614,"His Secret Life (a.k.a. Ignorant Fairies, The) (Fate ignoranti, Le) (2001)"
26606,"Chinese Ghost Story, A (Sinnui yauwan) (1987)"
3568,Smiling Fish and Goat on Fire (1999)
74226,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)"
